_id,location_name,address,year,year_stage,suspected_non_fatal_overdoses
1,45 The Esplanade,45 The Esplanade,2021,Q1,5
2,45 The Esplanade,45 The Esplanade,2021,Q2,14
3,45 The Esplanade,45 The Esplanade,2021,Q3,46
4,45 The Esplanade,45 The Esplanade,2021,Q4,33
5,45 The Esplanade,45 The Esplanade,2022,Q1,22
6,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q1,< 5
7,Christie Refugee Welcome Centre,43 Christie St,2021,Q1,0
8,Christie Refugee Welcome Centre,43 Christie St,2021,Q2,< 5
9,Christie Refugee Welcome Centre,43 Christie St,2021,Q3,0
10,Christie Refugee Welcome Centre,43 Christie St,2021,Q4,0
11,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q1,
12,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q2,< 5
13,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q3,
14,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q4,
15,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q1,
16,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q2,
17,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q3,
18,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q4,< 5
19,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q1,10
20,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q2,8
21,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q3,< 5
22,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q4,0
23,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q1,
24,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q2,
25,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q3,
26,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q4,< 5
27,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q1,
28,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q2,< 5
29,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q3,
30,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q4,
31,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q1,< 5
32,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q2,
33,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q3,
34,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q4,< 5
35,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q1,< 5
36,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q2,< 5
37,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q3,0
38,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q4,0
39,CONC West End Hotel Program,14 Roncesvalles Ave,2020,Q1,
40,CONC West End Hotel Program,14 Roncesvalles Ave,2020,Q2,
41,CONC West End Hotel Program,14 Roncesvalles Ave,2020,Q3,
42,CONC West End Hotel Program,14 Roncesvalles Ave,2020,Q4,< 5
43,Cornerstone Place,616 Vaughan Rd,2018,Q1,
44,Cornerstone Place,616 Vaughan Rd,2018,Q2,< 5
45,Cornerstone Place,616 Vaughan Rd,2018,Q3,
46,Cornerstone Place,616 Vaughan Rd,2018,Q4,
47,Cornerstone Place,616 Vaughan Rd,2019,Q1,< 5
48,Cornerstone Place,616 Vaughan Rd,2019,Q2,
49,Cornerstone Place,616 Vaughan Rd,2019,Q3,
50,Cornerstone Place,616 Vaughan Rd,2019,Q4,
51,COSTI Uptown Hotel Program,55 Hallcrown Pl,2020,Q1,
52,COSTI Uptown Hotel Program,55 Hallcrown Pl,2020,Q2,
53,COSTI Uptown Hotel Program,55 Hallcrown Pl,2020,Q3,
54,COSTI Uptown Hotel Program,55 Hallcrown Pl,2020,Q4,< 5
55,COSTI Uptown Hotel Program,55 Hallcrown Pl,2021,Q1,
56,COSTI Uptown Hotel Program,55 Hallcrown Pl,2021,Q2,
57,COSTI Uptown Hotel Program,55 Hallcrown Pl,2021,Q3,
